year,session,code,unit,max_mark,UMS_100,A*,A,B,C,D,E
2024,January,EN03,ENGLISH LANGUAGE UNIT 3,50,49,44,39,34,29,25,21
2024,January,EN04A,ENGLISH LANGUAGE UNIT 4A,50,0,45,40,35,30,25,20
2024,January,FM01,FURTHER MATHS UNIT 1 (FP1),80,79,,63,55,47,39,31
2024,January,FM02,FURTHER MATHS UNIT 2 (FPSM1),80,0,,63,54,46,38,30
2024,January,FM03,FURTHER MATHS UNIT 3 (FP2),120,117,105,93,81,69,57,45
2024,January,FM04,FURTHER MATHS UNIT 4 (FS2),80,74,66,58,50,42,34,26
2024,January,FM05,FURTHER MATHS UNIT 5 (FM2),80,79,73,67,57,48,39,30
2024,January,GG01A,GEOGRAPHY UNIT 1 OPTION A,80,62,,50,44,38,32,26
2024,January,GG01B,GEOGRAPHY UNIT 1 OPTION B,80,62,,50,44,38,32,26
2024,January,GG02,GEOGRAPHY UNIT 2,80,64,,50,43,37,31,25
2024,January,GG03,GEOGRAPHY UNIT 3,80,64,57,50,43,36,30,24
2024,January,GG04,GEOGRAPHY UNIT 4,80,64,57,50,43,36,30,24
2024,January,GG05,GEOGRAPHY UNIT 5,60,55,49,43,37,31,25,20
2024,January,LT01,ENGLISH LITERATURE UNIT 1,50,44,,34,29,24,19,14
2024,January,LT02,ENGLISH LITERATURE UNIT 2,50,44,,34,29,24,19,14
2024,January,LT03,ENGLISH LITERATURE UNIT 3,50,46,41,36,31,26,21,17
2024,January,LT04A,ENGLISH LITERATURE UNIT 4A,50,39,35,31,27,23,19,16
2024,January,MA01,MATHS UNIT 1 (P1),80,78,,60,51,43,35,27
2024,January,MA02,MATHS UNIT 2 (PSM1),80,0,,63,54,46,38,30
2024,January,MA03,MATHS UNIT 3 (P2),120,119,107,95,83,71,59,47
2024,January,MA04,MATHS UNIT 4 (S2),80,0,72,64,56,48,40,32
2024,January,MA05,MATHS UNIT 5 (M2),80,79,71,63,55,47,39,31
2024,January,PH01,PHYSICS UNIT 1,80,61,,49,43,37,32,27
2024,January,PH02,PHYSICS UNIT 2,80,55,,45,40,35,30,25
2024,January,PH03,PHYSICS UNIT 3,80,58,52,46,40,34,29,24
2024,January,PH04,PHYSICS UNIT 4,80,63,56,49,42,36,30,24
2024,January,PH05,PHYSICS UNIT 5,80,57,51,45,39,33,27,21
2024,January,PS01,PSYCHOLOGY UNIT 1,90,77,,61,53,45,37,30
2024,January,PS02,PSYCHOLOGY UNIT 2,90,84,,66,57,48,40,32
2024,January,PS03,PSYCHOLOGY UNIT 3,90,86,77,68,59,50,42,34
2024,January,PS04,PSYCHOLOGY UNIT 4,90,84,75,66,57,48,39,31
2023,June,BL01,BIOLOGY UNIT 1,75,61,,49,43,37,31,26
2023,June,BL01,BIOLOGY UNIT 1,75,60,,48,42,36,30,25
2023,June,BL02,BIOLOGY UNIT 2,75,57,,47,42,37,32,27
2023,June,BL02,BIOLOGY UNIT 2,75,55,,45,40,35,30,26
2023,June,BL03,BIOLOGY UNIT 3,75,57,52,47,42,37,32,28
2023,June,BL03,BIOLOGY UNIT 3,75,56,51,46,41,36,31,26
2023,June,BL04,BIOLOGY UNIT 4,75,56,51,46,41,36,32,28
2023,June,BL04,BIOLOGY UNIT 4,75,55,50,45,40,35,31,27
2023,June,BL05,BIOLOGY UNIT 5,75,52,48,44,40,36,32,28
2023,June,BL05,BIOLOGY UNIT 5,75,54,49,44,39,35,31,27
2023,June,BU01,BUSINESS UNIT 1,80,72,,56,48,41,34,27
2023,June,BU01,BUSINESS UNIT 1,80,70,,56,49,42,35,29
2023,June,BU02,BUSINESS UNIT 2,80,67,,53,46,39,32,25
2023,June,BU02,BUSINESS UNIT 2,80,68,,54,47,41,35,29
2023,June,BU03,BUSINESS UNIT 3,80,69,62,55,48,41,34,27
2023,June,BU03,BUSINESS UNIT 3,80,77,69,61,53,45,37,29
2023,June,BU04,BUSINESS UNIT 4,80,78,70,62,54,46,38,31
2023,June,BU04,BUSINESS UNIT 4,80,77,69,61,53,45,37,30
2023,June,CH01,CHEMISTRY UNIT 1,70,68,,54,47,41,35,29
2023,June,CH01,CHEMISTRY UNIT 1,70,66,,52,45,38,32,26
2023,June,CH02,CHEMISTRY UNIT 2,70,68,,52,44,36,28,21
2023,June,CH02,CHEMISTRY UNIT 2,70,66,,52,45,38,32,26
2023,June,CH03,CHEMISTRY UNIT 3,80,76,68,60,52,44,36,29
2023,June,CH03,CHEMISTRY UNIT 3,80,72,64,56,48,40,33,26
2023,June,CH04,CHEMISTRY UNIT 4,80,79,71,63,55,47,39,31
2023,June,CH04,CHEMISTRY UNIT 4,80,71,63,55,47,39,31,24
2023,June,CH05,CHEMISTRY UNIT 5,60,58,52,46,40,34,29,24
2023,June,CH05,CHEMISTRY UNIT 5,60,53,48,43,38,33,28,23
2023,June,EC01,ECONOMICS UNIT 1,80,75,,59,51,43,35,27
2023,June,EC01,ECONOMICS UNIT 1,80,74,,58,50,42,34,26
2023,June,EC02,ECONOMICS UNIT 2,80,75,,59,51,43,36,29
2023,June,EC02,ECONOMICS UNIT 2,80,74,,58,50,42,35,28
2023,June,EC03,ECONOMICS UNIT 3,90,80,72,64,56,48,40,33
2023,June,EC03,ECONOMICS UNIT 3,90,81,73,65,57,49,41,33
2023,June,EC04,ECONOMICS UNIT 4,90,81,73,65,57,49,41,33
2023,June,EC04,ECONOMICS UNIT 4,90,84,75,66,57,49,41,33
2023,June,EN01,ENGLISH LANGUAGE UNIT 1,50,50,,40,35,30,25,20
2023,June,EN01,ENGLISH LANGUAGE UNIT 1,50,49,,39,34,29,24,19
2023,June,EN02,ENGLISH LANGUAGE UNIT 2,50,47,,37,32,28,24,20
2023,June,EN02,ENGLISH LANGUAGE UNIT 2,50,46,,36,31,26,22,18
2023,June,EN03,ENGLISH LANGUAGE UNIT 3,50,49,44,39,34,29,25,21
2023,June,EN03,ENGLISH LANGUAGE UNIT 3,50,48,43,38,33,28,23,19
2023,June,EN04A,ENGLISH LANGUAGE UNIT 4A,50,50,45,40,35,30,25,20
2023,June,EN04A,ENGLISH LANGUAGE UNIT 4A,50,48,43,38,33,28,23,19
2023,June,EN04B,ENGLISH LANGUAGE UNIT 4B,50,49,45,41,35,30,25,20
2023,June,EN04B,ENGLISH LANGUAGE UNIT 4B,50,48,43,38,33,28,23,19
2023,June,FM01,FURTHER MATHS UNIT 1 (FP1),80,80,,63,54,45,37,29
2023,June,FM01,FURTHER MATHS UNIT 1 (FP1),80,75,,59,51,43,35,28
2023,June,FM02,FURTHER MATHS UNIT 2 (FPSM1),80,80,,63,54,46,38,30
2023,June,FM02,FURTHER MATHS UNIT 2 (FPSM1),80,75,,59,51,43,36,29
2023,June,FM03,FURTHER MATHS UNIT 3 (FP2),120,118,106,94,82,70,58,46
2023,June,FM03,FURTHER MATHS UNIT 3 (FP2),120,112,100,88,76,64,53,42
2023,June,FM04,FURTHER MATHS UNIT 4 (FS2),80,74,66,58,50,42,34,27
2023,June,FM04,FURTHER MATHS UNIT 4 (FS2),80,70,62,54,46,39,32,25
2023,June,FM05,FURTHER MATHS UNIT 5 (FM2),80,78,70,62,54,46,38,30
2023,June,FM05,FURTHER MATHS UNIT 5 (FM2),80,72,65,58,51,44,37,30
2023,June,GG01A,GEOGRAPHY UNIT 1 OPTION A,80,62,,50,44,38,32,26
2023,June,GG01A,GEOGRAPHY UNIT 1 OPTION A,80,63,,49,42,35,28,21
2023,June,GG01B,GEOGRAPHY UNIT 1 OPTION B,80,62,,50,44,38,32,26
2023,June,GG02,GEOGRAPHY UNIT 2,80,62,,50,44,38,32,26
2023,June,GG02,GEOGRAPHY UNIT 2,80,68,,52,44,37,30,23
2023,June,GG03,GEOGRAPHY UNIT 3,80,64,57,50,43,36,30,24
2023,June,GG03,GEOGRAPHY UNIT 3,80,75,66,57,48,39,30,22
2023,June,GG04,GEOGRAPHY UNIT 4,80,64,57,50,43,36,30,24
2023,June,GG04,GEOGRAPHY UNIT 4,80,77,68,59,50,41,32,24
2023,June,GG05,GEOGRAPHY UNIT 5,60,55,49,43,37,31,25,20
2023,June,GG05,GEOGRAPHY UNIT 5,60,53,47,41,35,29,23,18
2023,June,LT01,ENGLISH LITERATURE UNIT 1,50,44,,34,29,24,19,14
2023,June,LT01,ENGLISH LITERATURE UNIT 1,50,42,,32,27,22,17,12
2023,June,LT02,ENGLISH LITERATURE UNIT 2,50,44,,34,29,24,19,15
2023,June,LT02,ENGLISH LITERATURE UNIT 2,50,42,,32,27,22,17,13
2023,June,LT03,ENGLISH LITERATURE UNIT 3,50,47,42,37,32,27,22,17
2023,June,LT04A,ENGLISH LITERATURE UNIT 4A,50,39,35,31,27,23,19,16
2023,June,LT04B,ENGLISH LITERATURE UNIT 4B,50,50,45,40,34,28,23,18
2023,June,MA01,MATHS UNIT 1 (P1),80,78,,60,51,43,35,27
2023,June,MA01,MATHS UNIT 1 (P1),80,74,,58,50,42,34,27
2023,June,MA02,MATHS UNIT 2 (PSM1),80,78,,62,54,46,38,30
2023,June,MA02,MATHS UNIT 2 (PSM1),80,76,,60,52,44,37,30
2023,June,MA03,MATHS UNIT 3 (P2),120,119,107,95,83,71,59,47
2023,June,MA03,MATHS UNIT 3 (P2),120,114,102,90,78,67,56,45
2023,June,MA04,MATHS UNIT 4 (S2),80,80,72,64,56,48,40,32
2023,June,MA04,MATHS UNIT 4 (S2),80,77,69,61,53,45,37,30
2023,June,MA05,MATHS UNIT 5 (M2),80,78,70,62,54,46,38,31
2023,June,MA05,MATHS UNIT 5 (M2),80,76,68,60,52,44,36,29
2023,June,PH01,PHYSICS UNIT 1,80,63,,51,45,39,34,29
2023,June,PH01,PHYSICS UNIT 1,80,57,,47,42,37,32,27
2023,June,PH02,PHYSICS UNIT 2,80,54,,42,36,31,26,21
2023,June,PH02,PHYSICS UNIT 2,80,63,,51,45,39,33,28
2023,June,PH03,PHYSICS UNIT 3,80,58,52,46,40,34,29,24
2023,June,PH03,PHYSICS UNIT 3,80,58,53,48,43,38,33,28
2023,June,PH04,PHYSICS UNIT 4,80,61,54,47,40,33,27,21
2023,June,PH04,PHYSICS UNIT 4,80,64,58,52,46,40,34,29
2023,June,PH05,PHYSICS UNIT 5,80,53,47,41,35,29,23,17
2023,June,PH05,PHYSICS UNIT 5,80,62,56,50,44,38,33,28
2023,June,PS01,PSYCHOLOGY UNIT 1,90,77,,61,53,45,37,30
2023,June,PS01,PSYCHOLOGY UNIT 1,90,75,,59,51,43,36,29
2023,June,PS02,PSYCHOLOGY UNIT 2,90,84,,66,57,48,40,32
2023,June,PS02,PSYCHOLOGY UNIT 2,90,83,,65,56,47,39,31
2023,June,PS03,PSYCHOLOGY UNIT 3,90,87,78,69,60,51,42,34
2023,June,PS03,PSYCHOLOGY UNIT 3,90,81,72,63,54,45,36,28
2023,June,PS04,PSYCHOLOGY UNIT 4,90,84,75,66,57,48,39,31
2023,June,PS04,PSYCHOLOGY UNIT 4,90,82,72,62,52,43,34,25
2023,January,BL01,BIOLOGY UNIT 1,75,60,,48,42,36,30,25
2023,January,BL02,BIOLOGY UNIT 2,75,55,,45,40,35,30,26
2023,January,BL03,BIOLOGY UNIT 3,75,56,51,46,41,36,31,26
2023,January,BL04,BIOLOGY UNIT 4,75,55,50,45,40,35,31,27
2023,January,BL05,BIOLOGY UNIT 5,75,54,49,44,39,35,31,27
2023,January,BU01,BUSINESS UNIT 1,80,70,,56,49,42,35,29
2023,January,BU02,BUSINESS UNIT 2,80,68,,54,47,41,35,29
2023,January,BU03,BUSINESS UNIT 3,80,77,69,61,53,45,37,29
2023,January,BU04,BUSINESS UNIT 4,80,77,69,61,53,45,37,30
2023,January,CH01,CHEMISTRY UNIT 1,70,66,,52,45,38,32,26
2023,January,CH02,CHEMISTRY UNIT 2,70,66,,52,45,38,32,26
2023,January,CH03,CHEMISTRY UNIT 3,80,72,64,56,48,40,33,26
2023,January,CH04,CHEMISTRY UNIT 4,80,71,63,55,47,39,31,24
2023,January,CH05,CHEMISTRY UNIT 5,60,53,48,43,38,33,28,23
2023,January,EC01,ECONOMICS UNIT 1,80,74,,58,50,42,34,26
2023,January,EC02,ECONOMICS UNIT 2,80,74,,58,50,42,35,28
2023,January,EC03,ECONOMICS UNIT 3,90,81,73,65,57,49,41,33
